short_sha,date,subject,category,files_touched_count,production_files_touched_count,test_files_touched_count,docs_tooling_files_touched_count,notes
49b51d0,2026-03-26,Consolidation Post-Testing,mixed_or_unclear,14,11,3,0,Broad or generic subject does not identify one primary change intent.
7ed2156,2026-03-28,Social Follow-Up Tweaks,mixed_or_unclear,32,15,17,0,Broad or generic subject does not identify one primary change intent.
7ecf413,2026-03-28,"Social Polish, Automated Testing Consolidation, & Feature Ownership Tagging",refactor_architecture,33,3,29,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
60434a7,2026-03-28,Phase 0 Closing Passes,mixed_or_unclear,3,0,3,0,Broad or generic subject does not identify one primary change intent.
b62d11c,2026-03-28,Phase 0 Finishing Touches,mixed_or_unclear,4,4,0,0,Broad or generic subject does not identify one primary change intent.
845e3f7,2026-03-29,Stage 0 FINAL Updates,mixed_or_unclear,7,7,0,0,Broad or generic subject does not identify one primary change intent.
4f5df1d,2026-03-29,"NPC Promotion System, Pass #1",feature_work,14,9,5,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
498d86f,2026-03-29,merge branch 'feature/transcript-gauntlet-ltc-slice',mixed_or_unclear,0,0,0,0,Merge commit; primary intent cannot be assigned from changed paths.
d2b6161,2026-03-29,Authoritative Lead Model,feature_work,1,1,0,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
926828d,2026-03-29,Transition Rules & Invariants,mixed_or_unclear,1,1,0,0,Commit message and path mix do not establish a reliable primary category.
de815e6,2026-03-29,Relationship & Future-Proofing Fields,mixed_or_unclear,9,6,3,0,Commit message and path mix do not establish a reliable primary category.
b983a16,2026-03-30,Engine-Owned Lead Creation Path,refactor_architecture,11,7,4,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
a984cf8,2026-03-30,Engine-Owned Lead Creation Path (NPC Speaking),refactor_architecture,7,6,1,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
7147b44,2026-03-30,Engine-Owned Lead Creation Path (Social Answer Quality),refactor_architecture,4,2,2,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
96c925f,2026-03-31,Integrating Discovery into Authoritative Lead Creation,mixed_or_unclear,3,2,1,0,Commit message and path mix do not establish a reliable primary category.
7388055,2026-03-31,"Add Explicit Commitment Hooks, Pass #1",feature_work,15,10,5,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
8b183b5,2026-03-31,"Add Explicit Commitment Hooks, Pass #2",feature_work,14,11,3,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
ca4a825,2026-04-01,"Add Resolution & Obsolescence Hooks, Pass #1",feature_work,14,7,7,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
10f61a5,2026-04-02,"Add Resolution & Obsolescence Hooks, Polish #1",feature_work,13,9,4,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
96ac5da,2026-04-02,"Add Resolution & Obsolescence Hooks, Polish #2",feature_work,12,8,4,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
22bbe82,2026-04-02,"Rebuild the Journal to Consume Authoritative Lead State, Pass #1",feature_work,6,5,1,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
1213d5e,2026-04-02,"Rebuild the Journal to Consume Authoritative Lead State, Pass #2",feature_work,7,4,3,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
51a9573,2026-04-02,Fix Hidden Test Coverage Loss,test_only,4,0,4,0,No production paths changed; commit is confined to tests plus supporting docs/tooling.
93a8eb2,2026-04-02,Finish the -Fast Lane vs Full Lane- Test Workflow,test_only,70,0,70,0,No production paths changed; commit is confined to tests plus supporting docs/tooling.
69fac7f,2026-04-02,Consolidate Test Ownership Before Adding more Behavior,refactor_architecture,8,0,8,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
5b16a41,2026-04-03,Intermission Consolidation Passes #1,refactor_architecture,3,0,3,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
fc73bc8,2026-04-03,Intermission Consolidation Passes #2,refactor_architecture,9,1,8,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
6b4b8ff,2026-04-03,Synthetic Players,feature_work,17,4,11,2,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
1746409,2026-04-04,Synthetic Players (Polish),feature_work,5,3,2,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
b8ff089,2026-04-04,Rebuild Prompt Context Around Authoritative Leads,feature_work,2,1,1,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
c695d82,2026-04-04,NPC/Social Disclosure Tracking & Repetition Suppression,feature_work,22,10,10,2,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
0f4f539,2026-04-04,Add Debugging/Inspection Surfaces,governance_observability,10,7,3,0,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
df990fd,2026-04-04,Add Debugging/Inspection Surfaces,governance_observability,10,7,3,0,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
c2b721d,2026-04-05,Add the Dedicated Test Suite,feature_work,6,4,2,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
a4a2e98,2026-04-05,Travel/Transition Authority Hardening,refactor_architecture,11,8,3,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
f9ee76f,2026-04-05,Travel Intent Disambiguation & Passive Interruption Hardening,feature_work,10,7,3,0,Behavioral contract or product-hardening work without an explicit defect claim.
71c35a3,2026-04-05,Add a Manual Smoke/Gauntlet Pass,governance_observability,5,0,1,4,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
5811437,2026-04-05,"Consolidate social, retry, prompt context, and API support modules",refactor_architecture,12,12,0,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
49e8d07,2026-04-05,Information Visibility Enforcement,feature_work,7,4,3,0,Behavioral contract or product-hardening work without an explicit defect claim.
8101460,2026-04-05,First-Mention Contract & Output Mode Cleanup,refactor_architecture,10,7,3,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
901f152,2026-04-06,"Referential Clarity Enforcement, Pass #1",feature_work,7,6,1,0,Behavioral contract or product-hardening work without an explicit defect claim.
f8d4ffa,2026-04-06,"Referential Clarity Enforcement, Pass #2",feature_work,8,5,3,0,Behavioral contract or product-hardening work without an explicit defect claim.
8e3abcc,2026-04-06,Social Interruption Progression/Anti-Loop Enforcement,feature_work,5,3,2,0,Behavioral contract or product-hardening work without an explicit defect claim.
a69a007,2026-04-07,Response-Type Gating,feature_work,13,8,5,0,Behavioral contract or product-hardening work without an explicit defect claim.
9f8e217,2026-04-07,Answer Completeness Rules,mixed_or_unclear,7,5,2,0,Commit message and path mix do not establish a reliable primary category.
ec03c51,2026-04-07,Response Delta Requirement (Anti-Echo),feature_work,19,10,9,0,Behavioral contract or product-hardening work without an explicit defect claim.
6dc953d,2026-04-07,Response Delta Requirement (Cleanup),refactor_architecture,5,3,2,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
5a56291,2026-04-07,Speaker Selection Discipline,feature_work,14,10,4,0,Behavioral contract or product-hardening work without an explicit defect claim.
90880fb,2026-04-08,Scene State Anchoring,mixed_or_unclear,25,22,2,1,Commit message and path mix do not establish a reliable primary category.
e7bd8c2,2026-04-08,Narrative Authority Boundaries,refactor_architecture,22,13,9,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
6cf0151,2026-04-08,Tone & Escalation Gating,feature_work,20,16,4,0,Behavioral contract or product-hardening work without an explicit defect claim.
0d71b18,2026-04-08,Anti-Railroading Constraints,feature_work,23,12,11,0,Behavioral contract or product-hardening work without an explicit defect claim.
0fa3dd2,2026-04-08,Context Separation Rules,refactor_architecture,51,30,21,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
473dcab,2026-04-09,tests: consolidate prompt/sanitizer test ownership,refactor_architecture,7,0,7,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
54835a0,2026-04-09,Consolidation Pass,refactor_architecture,17,14,2,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
03f4356,2026-04-09,Social Response Structure Enforcement,feature_work,15,11,4,0,Behavioral contract or product-hardening work without an explicit defect claim.
9ac6549,2026-04-09,Interaction Continuity Rules,mixed_or_unclear,14,8,6,0,Commit message and path mix do not establish a reliable primary category.
a464059,2026-04-10,Manual Gauntlet Export,governance_observability,12,4,2,6,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
178ef0d,2026-04-10,Conversational Memory Window Discipline,feature_work,16,9,3,4,Behavioral contract or product-hardening work without an explicit defect claim.
456d8d3,2026-04-10,Fallback Behavior Hardening,feature_work,14,11,3,0,Behavioral contract or product-hardening work without an explicit defect claim.
811f001,2026-04-11,Narration Constraint Debugging Surface (Lightweight),governance_observability,2,1,1,0,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
fe0f30f,2026-04-11,Transcript-Based Regression Tests & Bug Fixing,mixed_or_unclear,31,18,13,0,Subject explicitly combines regression-test work and bug fixing.
c09c6f9,2026-04-11,"Narrative Layer Hardening, Pass #1",feature_work,25,16,9,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
4f01770,2026-04-11,"Narrative Layer Hardening, Pass #2",feature_work,4,4,0,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
01656db,2026-04-11,"Narrative Layer Hardening, Pass #3",feature_work,21,17,4,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
ea9c1f4,2026-04-11,Canonical Turn State & Stage Diff Telemetry,governance_observability,10,7,3,0,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
c881eac,2026-04-11,Behavioral Smoke / Gauntlet Testing,governance_observability,11,0,7,4,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
bc69e1b,2026-04-12,Playability Validation Pass,governance_observability,19,5,4,10,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
a0b07ca,2026-04-12,Narrative Authenticity & Signal Quality,feature_work,14,9,2,3,Behavioral contract or product-hardening work without an explicit defect claim.
7575dae,2026-04-12,Anti-Echo & Rumor Realism,feature_work,19,9,6,4,Behavioral contract or product-hardening work without an explicit defect claim.
f14562e,2026-04-12,Consolidation Pass,refactor_architecture,24,8,13,3,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
b6e016f,2026-04-12,Billing/Health Pre-Flight,governance_observability,44,22,20,2,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
8c30026,2026-04-13,Scene Transition Integrity / Destination Binding,feature_work,24,14,7,3,Behavioral contract or product-hardening work without an explicit defect claim.
e6793d4,2026-04-13,Architecture Audit,governance_observability,8,0,1,7,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
823a731,2026-04-14,Architecture Audit [II],governance_observability,51,17,23,11,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
40faac3,2026-04-14,Architecture Audit [III],governance_observability,12,0,6,6,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
579fd00,2026-04-14,Architecture Audit [IV],governance_observability,10,0,5,5,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
30e6203,2026-04-14,Architecture Audit [V],governance_observability,13,0,7,6,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
01fb012,2026-04-15,Architecture Audit [VI],governance_observability,20,0,13,7,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
7ca4702,2026-04-15,Architecture Audit [VII],governance_observability,24,1,15,8,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
0ccff41,2026-04-15,Architecture Audit [VIII],governance_observability,5,0,3,2,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
d73627d,2026-04-15,Focused Polish Pass,mixed_or_unclear,6,0,2,4,Broad or generic subject does not identify one primary change intent.
8fd00a5,2026-04-15,Deterministic Behavioral Audits,governance_observability,11,8,3,0,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
ceecc57,2026-04-16,Opening Scene Repair,bug_fix,20,12,6,2,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
68f2590,2026-04-19,Canonical Turn Intermediate Representation (CTIR),feature_work,16,5,8,3,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
d46cf12,2026-04-19,Pre-Narration Planning Layer,feature_work,7,3,4,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
1d3580d,2026-04-19,Unified State Authority Model,refactor_architecture,23,13,5,5,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
f14e081,2026-04-20,Schema Unification Pass,refactor_architecture,35,19,15,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
4782a71,2026-04-20,Public vs Debug vs Author State Separation,refactor_architecture,63,16,46,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
d15eace,2026-04-20,Narrative Mode Contract System,feature_work,9,3,6,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
0ad6541,2026-04-21,Clause / Referent Tracking Layer,feature_work,18,8,7,3,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
dedbee4,2026-04-21,Deterministic Non-Combat Resolution Framework,feature_work,17,10,4,3,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
cd2832b,2026-04-21,World Simulation Backbone,feature_work,21,10,8,3,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
d47422e,2026-04-21,Content / Scene Linting Pipeline,feature_work,12,2,3,7,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
c4b8cb5,2026-04-21,Validation Layer Separation (Hard Rule),governance_observability,24,10,6,8,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
6b8262f,2026-04-21,Transcript + Scenario Testing as Primary Safety Net,test_only,7,0,4,3,No production paths changed; commit is confined to tests plus supporting docs/tooling.
9b5ffa0,2026-04-22,Mini-Consolidation Pass,refactor_architecture,9,5,4,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
d9488cd,2026-04-22,Telemetry Normalization,governance_observability,16,9,5,2,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
2101201,2026-04-22,Persistence & Session Integrity Hardening,feature_work,10,6,2,2,Behavioral contract or product-hardening work without an explicit defect claim.
427ee61,2026-04-22,UI Mode Separation (Player vs Author vs Debug),refactor_architecture,22,11,9,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
bcb14fc,2026-04-22,Planner Convergence Across All Narrative Paths,refactor_architecture,18,7,10,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
335926e,2026-04-22,Final Emission Ownership Convergence,refactor_architecture,42,15,21,6,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
d5bc6e6,2026-04-22,Narrative Mode Enforcement (Hard Contract),feature_work,14,6,8,0,Behavioral contract or product-hardening work without an explicit defect claim.
1c0264d,2026-04-22,Telemetry & Meta Normalization,governance_observability,17,7,7,3,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
714c575,2026-04-22,Scenario-Spine / Long-Session Validation,governance_observability,16,3,11,2,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
1b4980d,2026-04-22,Acceptance Quality Layer (Anti-Collapse / Playability Gate),refactor_architecture,10,3,3,4,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
11dc23b,2026-04-22,Cross-System Content Governance,governance_observability,14,4,5,5,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
ce0340d,2026-04-22,Role-Based Narrative Composition,mixed_or_unclear,14,4,8,2,Commit message and path mix do not establish a reliable primary category.
c1e647c,2026-04-22,Clause-Level Referent Tracking (Conditional),feature_work,12,5,3,4,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
26ab008,2026-04-23,Planner Convergence,refactor_architecture,22,10,7,5,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
02ab9b0,2026-04-23,Final Emission Boundary Hardening,refactor_architecture,17,10,6,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
b579935,2026-04-23,Scenario-Spine / Long-Session Validation,governance_observability,19,7,3,9,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
64fe7c2,2026-04-24,Test Ownership & Coverage Consolidation,refactor_architecture,15,4,10,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
2d79bae,2026-04-24,Scenario-Spine Expansion,mixed_or_unclear,9,2,4,3,Commit message and path mix do not establish a reliable primary category.
4bbecf9,2026-04-24,Final-Emission Debt Retirement,refactor_architecture,21,12,8,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
9cedc9a,2026-04-24,Test Ownership & Coverage Consolidation,refactor_architecture,14,3,9,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
218310f,2026-04-24,Scene Opening Convergence,refactor_architecture,25,13,6,6,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
e0404c2,2026-04-25,Scene Continuation Convergence,refactor_architecture,13,7,4,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
ca2a830,2026-04-25,Action Outcome Convergence,refactor_architecture,15,9,5,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
7d4c11d,2026-04-25,Dialogue / Social Convergence,refactor_architecture,15,8,6,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
eebb5c7,2026-04-25,Transition Convergence,refactor_architecture,19,10,8,1,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
1caa404,2026-04-25,Answer / Exposition Convergence,refactor_architecture,19,11,5,3,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
ca576ad,2026-04-25,Cleanup (I),refactor_architecture,15,6,7,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
5de3f7c,2026-04-25,Cleanup (II),refactor_architecture,6,1,3,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
0feada3,2026-04-25,Cleanup (III),refactor_architecture,8,2,4,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
a6573c7,2026-04-25,Cleanup (IV),refactor_architecture,5,1,4,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
f79b713,2026-04-25,Canon vs Runtime,refactor_architecture,28,21,7,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
6351b33,2026-04-25,Preserve curated opening facts through fallback,bug_fix,16,12,4,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
d6bad74,2026-04-25,Enforce curated opening facts in fallback,mixed_or_unclear,5,4,1,0,Commit message and path mix do not establish a reliable primary category.
4d3d71a,2026-04-25,Clean scene canon and lock opening fact sources,mixed_or_unclear,13,10,3,0,Commit message and path mix do not establish a reliable primary category.
2013258,2026-04-25,Restrict journal seed facts to perceptual opening content,bug_fix,7,5,2,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
2b293b2,2026-04-25,Restore journal seed facts as opening source,bug_fix,3,3,0,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
ee3af57,2026-04-25,Add perceptual filtering for journal opening facts,feature_work,3,3,0,0,"Subject identifies a new capability, model, system, layer, framework, or pipeline."
9e83820,2026-04-26,Preserve journal openings through selector fallback,bug_fix,7,6,1,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
20b1420,2026-04-26,Opening Clean-Up,refactor_architecture,3,3,0,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
b0cfd07,2026-04-26,Refine opening scene narration contract,mixed_or_unclear,5,4,1,0,Commit message and path mix do not establish a reliable primary category.
1b3b3ee,2026-04-26,Preserve valid scene openings before deterministic fallback,bug_fix,5,4,1,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
c6e63b0,2026-04-26,Refresh session snapshot and opening scene details,mixed_or_unclear,7,6,1,0,Commit message and path mix do not establish a reliable primary category.
43bdb8b,2026-04-26,Collapse start_campaign onto canonical gm_output,refactor_architecture,195,4,191,0,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
f487f4d,2026-04-26,Guard rich scene openings from post-gate shortening,bug_fix,216,5,211,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
f6a4c6f,2026-04-26,Promote upstream prepared scene openings before final gate,mixed_or_unclear,135,4,131,0,Commit message and path mix do not establish a reliable primary category.
773cbe0,2026-04-26,Promote accepted scene opening candidates,mixed_or_unclear,26,4,22,0,Commit message and path mix do not establish a reliable primary category.
f3fa4b1,2026-04-26,Preserve player chat in replayed logs,bug_fix,52,6,46,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
53165bb,2026-04-26,UI & Freeform Investigation (I),mixed_or_unclear,93,8,85,0,Commit message and path mix do not establish a reliable primary category.
5cb8444,2026-04-26,Recover mixed investigation question routing,bug_fix,538,2,536,0,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
9808d01,2026-04-26,Remove generated pytest artifacts from tracking,test_only,57,0,56,1,No production paths changed; commit is confined to tests plus supporting docs/tooling.
6dcccd8,2026-04-28,Post-GM adoption gateway fenced,refactor_architecture,1407,1,1163,243,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
29da646,2026-05-04,Adoption Gateway (Finalized),refactor_architecture,267,2,6,259,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
673118e,2026-05-06,PLANNER: Stabilize Failure Locality Seam,refactor_architecture,41,22,17,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
0f80564,2026-05-08,Realization Layer Failure-Locality Hardening,refactor_architecture,36,12,11,13,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
177099a,2026-05-09,Close Out Realization Failure-Locality,refactor_architecture,7,0,0,7,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
0f03dd6,2026-05-09,Gate Boundary Convergence and Compatibility Fencing,refactor_architecture,18,9,5,4,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
c89f2f4,2026-05-09,"Complete Gate Convergence, Semantic Fencing, and Relocation Readiness Hardening",refactor_architecture,24,7,15,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
792de85,2026-05-09,Freeze Evaluator Convergence and Boundary Governance,governance_observability,22,2,9,11,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
f04ef66,2026-05-10,"Converge evaluator boundaries, telemetry, and governance",governance_observability,16,0,1,15,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
ac1ba90,2026-05-11,Add Golden Replay Scenario-Spine Baseline Suite,test_only,6,0,3,3,No production paths changed; commit is confined to tests plus supporting docs/tooling.
98bc059,2026-05-11,Failure Classification Dashboard,governance_observability,28,0,10,18,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
a5c9146,2026-05-13,Cycle C: contract fallback ownership and mutation lineage,refactor_architecture,18,3,11,4,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
6c00e6e,2026-05-17,D: Final Emission Gate Pressure Reduction,refactor_architecture,17,5,10,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
8ddb183,2026-05-17,E: Test Signal Ownership Thinning,refactor_architecture,23,0,13,10,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
1ae07ea,2026-05-18,Cycle F: Maintenance Drag Measurement and Opening Routing Closure,refactor_architecture,16,0,7,9,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
90adbbb,2026-05-19,G: Runtime Stability and Full-Suite Hygiene,test_only,22,0,6,16,No production paths changed; commit is confined to tests plus supporting docs/tooling.
cf6a89c,2026-05-20,ci: update actions for Node 24 runner compatibility,docs_only,2,0,0,2,"Only documentation, audit artifact, or tooling/configuration paths changed."
aa9095a,2026-05-20,test: isolate snapshot helpers from live API imports,test_only,5,0,3,2,No production paths changed; commit is confined to tests plus supporting docs/tooling.
6a402d2,2026-05-20,config: lazy-load OpenAI API key for import-safe tests,bug_fix,9,3,5,1,"Subject explicitly identifies corrective behavior such as fix, repair, recovery, preservation, or guarding."
b086b75,2026-05-25,H: Runtime Lineage Instrumentation,governance_observability,12,2,7,3,"Subject identifies audit, validation, replay governance, telemetry, or instrumentation work."
fd5f1a9,2026-05-26,Cycle I: Contract opening fallback authorship attribution,refactor_architecture,16,2,10,4,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
6074e9e,2026-05-26,J: Gate Cluster Extraction,refactor_architecture,5,2,1,2,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
2619bb5,2026-05-26,K: Promote replay acceptance gate,test_only,16,0,5,11,No production paths changed; commit is confined to tests plus supporting docs/tooling.
f36e834,2026-05-27,Cycle L: Test Ownership Compression,refactor_architecture,9,0,3,6,"Subject identifies consolidation, decomposition, ownership/boundary, cleanup, or architecture work."
