module,rel_path,function,field,line,mechanism,writer_class,schema_source,notes
game.final_emission_fem_assembly,game/final_emission_fem_assembly.py,build_gate_replace_fem_base,fallback_family_used,184,subscript_store,FEM schema writer,game.final_emission_meta + game.realization_provenance,Terminal FEM merge; copies strict-social / speaker reason fields
game.final_emission_fem_assembly,game/final_emission_fem_assembly.py,build_gate_replace_fem_base,fallback_temporal_frame,185,subscript_store,FEM schema writer,game.final_emission_meta + game.realization_provenance,Terminal FEM merge; copies strict-social / speaker reason fields
game.final_emission_generic_exit,game/final_emission_generic_exit.py,run_generic_accept_exit,producer_repair_kind,130,subscript_store,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_generic_exit,game/final_emission_generic_exit.py,run_generic_replace_exit,fallback_family_used,337,assignment_or_kwarg,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_generic_exit,game/final_emission_generic_exit.py,run_generic_replace_exit,fallback_temporal_frame,338,assignment_or_kwarg,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_meta,game/final_emission_meta.py,stamp_opening_fallback_owner_bucket,opening_fallback_owner_bucket,1234,subscript_store,FEM schema writer,game.final_emission_meta,Canonical stamp/copy helpers for owner buckets and sanitizer attribution
game.final_emission_meta,game/final_emission_meta.py,stamp_response_type_prepared_repair_owner_bucket,sealed_fallback_owner_bucket,1260,subscript_store,FEM schema writer,game.final_emission_meta,Canonical stamp/copy helpers for owner buckets and sanitizer attribution
game.final_emission_meta,game/final_emission_meta.py,stamp_visibility_fallback_owner_bucket_from_fields,visibility_fallback_owner_bucket,1309,subscript_store,FEM schema writer,game.final_emission_meta,Canonical stamp/copy helpers for owner buckets and sanitizer attribution
game.final_emission_meta,game/final_emission_meta.py,apply_sanitizer_producer_attribution_to_fem,owner_bucket,1323,assignment_or_kwarg,FEM schema writer,game.final_emission_meta,Canonical stamp/copy helpers for owner buckets and sanitizer attribution
game.final_emission_meta,game/final_emission_meta.py,apply_sanitizer_producer_attribution_to_fem,sealed_fallback_owner_bucket,1325,subscript_store,FEM schema writer,game.final_emission_meta,Canonical stamp/copy helpers for owner buckets and sanitizer attribution
game.final_emission_meta,game/final_emission_meta.py,normalize_fem_for_replay_observation,fem_runtime_lineage_events,0,curated,replay projection writer,game.final_emission_replay_projection.build_fem_runtime_lineage_events,Read-side FEM packaging adds projected lineage sibling field
game.final_emission_meta,game/final_emission_meta.py,stamp_retry_terminal_fallback_producer_metadata,opening_fallback_owner_bucket,0,curated,FEM schema writer,game.final_emission_meta,Retry terminal fallback owner bucket stamper paired with attach_realization_fallback_family
game.final_emission_meta,game/final_emission_meta.py,stamp_upstream_prepared_opening_producer_metadata,opening_fallback_owner_bucket,0,curated,FEM schema writer,game.final_emission_meta,Upstream-prepared opening owner bucket stamper paired with opening payload composition
game.final_emission_meta_observability,game/final_emission_meta_observability.py,assemble_unified_observational_telemetry_bundle,fem_runtime_lineage_events,783,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_narration_constraint_debug,game/final_emission_narration_constraint_debug.py,merge_narration_constraint_debug_into_outputs,speaker_contract_enforcement,75,assignment_or_kwarg,debug-only writer,layer-specific emission_debug merge,Patches metadata.emission_debug before FEM finalize
game.final_emission_opening_fallback,game/final_emission_opening_fallback.py,_result_meta_from_upstream_prepared_payload,opening_fallback_authorship_source,159,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_opening_fallback,game/final_emission_opening_fallback.py,_visibility_selected_from_opening_contract,fallback_family_used,485,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_opening_fallback,game/final_emission_opening_fallback.py,_visibility_selected_from_opening_contract,fallback_temporal_frame,486,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_opening_fallback,game/final_emission_opening_fallback.py,_visibility_selected_from_opening_contract,opening_fallback_authorship_source,489,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_opening_fallback,game/final_emission_opening_fallback.py,build_upstream_prepared_opening_composition_meta,opening_fallback_authorship_source,0,curated,fallback selection writer,game.final_emission_opening_fallback,Upstream composition meta authorship stamp (success path)
game.final_emission_opening_fallback,game/final_emission_opening_fallback.py,build_opening_fallback_result_meta,opening_fallback_authorship_source,0,curated,fallback selection writer,game.final_emission_opening_fallback,Result meta may include authorship when mirrored from upstream
game.final_emission_owner_bucket_views,game/final_emission_owner_bucket_views.py,opening_fallback_owner_bucket_from_meta,opening_fallback_authorship_source,170,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_owner_bucket_views,game/final_emission_owner_bucket_views.py,opening_fallback_owner_bucket_from_meta,fallback_family,172,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_owner_bucket_views,game/final_emission_owner_bucket_views.py,opening_fallback_owner_bucket_from_meta,fallback_temporal_frame,173,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_replay_projection,game/final_emission_replay_projection.py,build_fem_runtime_lineage_events,fallback_authorship_source,0,curated,replay projection writer,game.final_emission_replay_projection,Projects opening fallback_authorship_source onto lineage events
game.final_emission_replay_projection,game/final_emission_replay_projection.py,build_fem_runtime_lineage_events,fallback_content_owner,0,curated,replay projection writer,game.final_emission_replay_projection,Split-owner projection from _fallback_split_owners_for_kind
game.final_emission_replay_projection,game/final_emission_replay_projection.py,build_fem_runtime_lineage_events,fallback_owner_bucket,0,curated,replay projection writer,game.final_emission_replay_projection,Projects fallback_owner_bucket on lineage events via make_runtime_lineage_event
game.final_emission_replay_projection,game/final_emission_replay_projection.py,build_fem_runtime_lineage_events,fallback_selection_owner,0,curated,replay projection writer,game.final_emission_replay_projection,Split-owner projection from _fallback_split_owners_for_kind
game.final_emission_response_type,game/final_emission_response_type.py,enforce_response_type_contract,opening_fallback_authorship_source,407,subscript_store,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_response_type,game/final_emission_response_type.py,enforce_response_type_contract,fallback_family_used,418,subscript_store,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_response_type,game/final_emission_response_type.py,enforce_response_type_contract,fallback_temporal_frame,419,subscript_store,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_response_type,game/final_emission_response_type.py,enforce_response_type_contract,opening_fallback_owner_bucket,0,curated,FEM schema writer,game.final_emission_meta.stamp_opening_fallback_owner_bucket,Stamps opening bucket on response-type debug before FEM merge
game.final_emission_response_type,game/final_emission_response_type.py,enforce_response_type_contract,realization_fallback_family,0,curated,debug-only writer,game.realization_provenance,attach_realization_fallback_family on response-type debug
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,stamp_non_strict_sealed_replacement_realization_family,sealed_fallback_owner_bucket,241,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,stamp_sealed_fallback_realization_family,sealed_fallback_owner_bucket,265,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,prepare_sealed_replacement_route_meta,fallback_family_used,294,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,prepare_sealed_replacement_route_meta,fallback_temporal_frame,295,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,prepare_sealed_replacement_route_meta,fallback_family,310,assignment_or_kwarg,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,stamp_sealed_fallback_realization_family,realization_fallback_family,0,curated,fallback selection writer,game.realization_provenance,Sealed route realization family + owner bucket
game.final_emission_strict_social_stack,game/final_emission_strict_social_stack.py,run_strict_social_composition_trunk,speaker_contract_enforcement_reason,433,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_strict_social_stack,game/final_emission_strict_social_stack.py,run_strict_social_composition_trunk,speaker_contract_enforcement,487,assignment_or_kwarg,debug-only writer,layer-specific emission_debug merge,Patches metadata.emission_debug before FEM finalize
game.final_emission_terminal_pipeline,game/final_emission_terminal_pipeline.py,apply_strict_social_emergency_fallback_patch,fallback_family,106,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_terminal_pipeline,game/final_emission_terminal_pipeline.py,run_gate_terminal_enforcement_pipeline,speaker_contract_enforcement,373,assignment_or_kwarg,debug-only writer,layer-specific emission_debug merge,Patches metadata.emission_debug before FEM finalize
game.final_emission_validators,game/final_emission_validators.py,_merge_response_type_meta,fallback_family_used,507,dict_update,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_validators,game/final_emission_validators.py,_merge_response_type_meta,fallback_temporal_frame,507,dict_update,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_validators,game/final_emission_validators.py,_merge_response_type_meta,opening_fallback_authorship_source,507,dict_update,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_validators,game/final_emission_validators.py,_merge_response_type_meta,opening_fallback_owner_bucket,507,dict_update,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_validators,game/final_emission_validators.py,_merge_response_type_meta,realization_fallback_family,507,dict_update,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_validators,game/final_emission_validators.py,_merge_response_type_meta,sealed_fallback_owner_bucket,507,dict_update,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.final_emission_visibility_fallback,game/final_emission_visibility_fallback.py,stamp_visibility_fallback_metadata,visibility_fallback_owner_bucket,78,subscript_store,fallback selection writer,game.final_emission_meta (owner-bucket registry),Route-level fallback selection stamps owner buckets / diegetic family on FEM
game.final_emission_visibility_metadata,game/final_emission_visibility_metadata.py,stamp_kwargs,fallback_owner_bucket,108,subscript_store,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_visibility_metadata,game/final_emission_visibility_metadata.py,build_visibility_route_metadata_outcome,fallback_owner_bucket,367,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.final_emission_visibility_metadata,game/final_emission_visibility_metadata.py,visibility_fallback_metadata_updates,visibility_fallback_owner_bucket,549,subscript_store,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.gm,game/gm.py,call_gpt,realization_fallback_family,0,curated,fallback selection writer,game.realization_provenance,GPT budget/provider failure fallback metadata
game.gm_retry,game/gm_retry.py,_attach_retry_terminal_family,realization_fallback_family,0,curated,fallback selection writer,game.realization_provenance,Retry terminal fallback stamps gm_output/metadata/_final_emission_meta
game.interaction_continuity,game/interaction_continuity.py,_maybe_apply_speaker_binding_bridge_to_payload,speaker_contract_enforcement,1480,assignment_or_kwarg,debug-only writer,layer-specific emission_debug merge,Patches metadata.emission_debug before FEM finalize
game.output_sanitizer,game/output_sanitizer.py,_record_sanitizer_semantic_write_site,fallback_family,1315,assignment_or_kwarg,fallback selection writer,game.final_emission_meta (bucket constants) + trace split-owner literals,Sanitizer trace stamps; copied to FEM via apply_sanitizer_producer_attribution_to_fem
game.output_sanitizer,game/output_sanitizer.py,_sanitize_player_facing_output_strip_only,owner_bucket,1482,assignment_or_kwarg,fallback selection writer,game.final_emission_meta (bucket constants) + trace split-owner literals,Sanitizer trace stamps; copied to FEM via apply_sanitizer_producer_attribution_to_fem
game.output_sanitizer,game/output_sanitizer.py,_mark_sanitizer_empty_fallback,sanitizer_empty_fallback_owner_trace_short,0,curated,fallback selection writer,game.final_emission_ownership_schema (trace short companion),Legacy short companion stamped alongside canonical sanitizer_empty_fallback_owner
game.output_sanitizer,game/output_sanitizer.py,_mark_sanitizer_strict_social_fallback,sanitizer_strict_social_prose_owner_trace_short,0,curated,fallback selection writer,game.final_emission_ownership_schema (trace short companion),Legacy short companion stamped alongside canonical strict-social prose owner
game.output_sanitizer,game/output_sanitizer.py,_mark_sanitizer_strict_social_fallback,sanitizer_strict_social_selection_owner_trace_short,0,curated,fallback selection writer,game.final_emission_ownership_schema (trace short companion),Legacy short companion stamped alongside canonical strict-social selection owner
game.output_sanitizer_lineage,game/output_sanitizer_lineage.py,_stamp_sanitizer_producer_attribution,sealed_fallback_owner_bucket,85,subscript_store,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.output_sanitizer_lineage,game/output_sanitizer_lineage.py,_mark_sanitizer_empty_fallback,sanitizer_empty_fallback_owner,100,subscript_store,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.output_sanitizer_lineage,game/output_sanitizer_lineage.py,_mark_sanitizer_empty_fallback,owner_bucket,110,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.output_sanitizer_lineage,game/output_sanitizer_lineage.py,_mark_sanitizer_strict_social_fallback,sanitizer_strict_social_selection_owner,124,subscript_store,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.output_sanitizer_lineage,game/output_sanitizer_lineage.py,_mark_sanitizer_strict_social_fallback,sanitizer_strict_social_prose_owner,128,subscript_store,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.output_sanitizer_lineage,game/output_sanitizer_lineage.py,_mark_sanitizer_strict_social_fallback,owner_bucket,139,assignment_or_kwarg,FEM schema writer,game.final_emission_meta (review),Unclassified production writer — review in BU5
game.realization_provenance,game/realization_provenance.py,attach_realization_fallback_family,realization_fallback_family,0,curated,FEM schema writer,game.realization_provenance + game.realization_authority,Canonical governed-family stamp helper
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,normalize_runtime_lineage_events,fallback_authorship_source,250,assignment_or_kwarg,replay projection writer,game.runtime_lineage_telemetry,Canonical lineage event dict schema (make_runtime_lineage_event)
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,normalize_runtime_lineage_events,fallback_owner_bucket,251,assignment_or_kwarg,replay projection writer,game.runtime_lineage_telemetry,Canonical lineage event dict schema (make_runtime_lineage_event)
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,normalize_runtime_lineage_events,fallback_selection_owner,252,assignment_or_kwarg,replay projection writer,game.runtime_lineage_telemetry,Canonical lineage event dict schema (make_runtime_lineage_event)
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,normalize_runtime_lineage_events,fallback_content_owner,253,assignment_or_kwarg,replay projection writer,game.runtime_lineage_telemetry,Canonical lineage event dict schema (make_runtime_lineage_event)
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,make_runtime_lineage_event,fallback_authorship_source,0,curated,replay projection writer,game.runtime_lineage_telemetry,Lineage event dict schema field
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,make_runtime_lineage_event,fallback_content_owner,0,curated,replay projection writer,game.runtime_lineage_telemetry,Lineage event dict schema field
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,make_runtime_lineage_event,fallback_owner_bucket,0,curated,replay projection writer,game.runtime_lineage_telemetry,Lineage event dict schema field
game.runtime_lineage_telemetry,game/runtime_lineage_telemetry.py,make_runtime_lineage_event,fallback_selection_owner,0,curated,replay projection writer,game.runtime_lineage_telemetry,Lineage event dict schema field
game.social_exchange_emission,game/social_exchange_emission.py,stamp_strict_social_deterministic_fallback_family,realization_fallback_family,0,curated,fallback selection writer,game.realization_provenance,Strict-social deterministic fallback family stamp
game.social_exchange_emission,game/social_exchange_emission.py,_structured_fact_emission_details,realization_fallback_family,0,curated,fallback selection writer,game.realization_provenance,attach_realization_fallback_family on structured fact emission details
game.speaker_contract_enforcement,game/speaker_contract_enforcement.py,_merge_speaker_enforcement_into_outputs,speaker_contract_enforcement,522,subscript_store,speaker contract writer,game.speaker_contract_enforcement,Writes emission_debug.speaker_contract_enforcement payload
game.upstream_response_repairs,game/upstream_response_repairs.py,build_upstream_prepared_opening_fallback_payload,fallback_family_used,212,assignment_or_kwarg,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.upstream_response_repairs,game/upstream_response_repairs.py,build_upstream_prepared_opening_fallback_payload,fallback_temporal_frame,213,assignment_or_kwarg,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.upstream_response_repairs,game/upstream_response_repairs.py,build_upstream_prepared_opening_fallback_payload,opening_fallback_authorship_source,214,assignment_or_kwarg,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.upstream_response_repairs,game/upstream_response_repairs.py,build_upstream_prepared_opening_fallback_payload,opening_fallback_owner_bucket,228,subscript_store,debug-only writer,game.final_emission_meta + game.realization_provenance,Response-type debug / upstream composition; merged into FEM observability
game.upstream_response_repairs,game/upstream_response_repairs.py,maybe_attach_upstream_prepared_opening_fallback_payload,realization_fallback_family,0,curated,debug-only writer,game.realization_provenance,Upstream prepared opening payload composition
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,opening_family_fallback_selected_lineage_event,fallback_owner_bucket,138,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,opening_family_fallback_selected_lineage_event,fallback_selection_owner,139,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,opening_family_fallback_selected_lineage_event,fallback_content_owner,140,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,opening_family_fallback_selected_lineage_event,fallback_authorship_source,141,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_opening_family_split_owner_row,opening_fallback_owner_bucket,158,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_opening_family_split_owner_row,fallback_content_owner,175,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_opening_family_split_owner_row,fallback_owner_bucket,176,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_opening_family_split_owner_row,fallback_authorship_source,177,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,sealed_family_fallback_selected_lineage_event,fallback_owner_bucket,236,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,sealed_family_fallback_selected_lineage_event,fallback_selection_owner,237,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,sealed_family_fallback_selected_lineage_event,fallback_content_owner,238,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_sealed_family_split_owner_row,fallback_content_owner,260,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_sealed_family_split_owner_row,fallback_owner_bucket,261,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,visibility_family_fallback_selected_lineage_event,fallback_owner_bucket,299,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,visibility_family_fallback_selected_lineage_event,fallback_selection_owner,300,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,visibility_family_fallback_selected_lineage_event,fallback_content_owner,301,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_visibility_family_hard_replacement_row,fallback_owner_bucket,333,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_visibility_family_hard_replacement_row,fallback_content_owner,334,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,sanitizer_fallback_selected_lineage_event,fallback_selection_owner,354,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,sanitizer_fallback_selected_lineage_event,fallback_content_owner,355,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_sanitizer_split_owner_row,fallback_content_owner,374,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_sanitizer_split_owner_row,sanitizer_strict_social_prose_owner,380,dict_update,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_sanitizer_split_owner_row,sanitizer_strict_social_selection_owner,380,dict_update,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,observed_sanitizer_split_owner_row,sanitizer_empty_fallback_owner,390,dict_update,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,upstream_fast_fallback_selected_lineage_event,fallback_owner_bucket,409,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,upstream_fast_fallback_selected_lineage_event,fallback_selection_owner,410,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_builders,tests/helpers/failure_classification_builders.py,upstream_fast_fallback_selected_lineage_event,fallback_content_owner,411,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
tests.helpers.failure_classification_dashboard_expectations,tests/helpers/failure_classification_dashboard_expectations.py,assert_controlled_failure_dashboard_entry,fallback_selection_owner,840,assignment_or_kwarg,test/governance writer,tests/helpers/attribution_contract.py or golden_replay_projection,Read-side inventory / governance; not production FEM stamping
