"Path","Filename","Category","ProposedDestination","Confidence","Reason"
"artifacts\bv15_final_emission_gate_analysis.json","bv15_final_emission_gate_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv16_final_emission_terminal_pipeline_analysis.json","bv16_final_emission_terminal_pipeline_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv16c_fan_in_report.json","bv16c_fan_in_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv17_hotspot_analysis.json","bv17_hotspot_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv1a_analysis.json","bv1a_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv2_meta_dependency_inventory.json","bv2_meta_dependency_inventory.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv2_meta_fan_in_baseline.json","bv2_meta_fan_in_baseline.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3a_referential_clarity_metrics.json","bv3a_referential_clarity_metrics.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3b_referential_clarity_metrics.json","bv3b_referential_clarity_metrics.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3b_replay_refresh\corpus_refresh_manifest.json","corpus_refresh_manifest.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3c_audit_candidates.json","bv3c_audit_candidates.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3d_eligibility_report.json","bv3d_eligibility_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3d_measurement\positive_control_manifest.json","positive_control_manifest.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3e_eligibility_metrics.json","bv3e_eligibility_metrics.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3f_reduction_metrics.json","bv3f_reduction_metrics.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3f_replay_refresh\corpus_refresh_manifest.json","corpus_refresh_manifest.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3f_replay_refresh\pre_refresh.bv3a_referential_clarity_metrics.json","pre_refresh.bv3a_referential_clarity_metrics.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3f_replay_refresh\pre_refresh.bv3d_eligibility_report.json","pre_refresh.bv3d_eligibility_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv3f_replay_refresh\pre_refresh.bv3e_eligibility_metrics.json","pre_refresh.bv3e_eligibility_metrics.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv4a_passive_scene_inventory.json","bv4a_passive_scene_inventory.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv4b_concrete_beat_metrics.json","bv4b_concrete_beat_metrics.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv7_smoke_analysis.json","bv7_smoke_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv8a_recurrence_history.json","bv8a_recurrence_history.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\bv9_hotspot_analysis.json","bv9_hotspot_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\by1\semantic_mutation_risk_report.md","semantic_mutation_risk_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\by2\protected_semantic_mutation_report.json","protected_semantic_mutation_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\by2\protected_semantic_mutation_report.md","protected_semantic_mutation_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\by3\strict_social_semantic_mutation_report.json","strict_social_semantic_mutation_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\by3\strict_social_semantic_mutation_report.md","strict_social_semantic_mutation_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\by4\semantic_mutation_attribution_closeout.json","semantic_mutation_attribution_closeout.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\by4\semantic_mutation_attribution_closeout.md","semantic_mutation_attribution_closeout.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca1_cohort_authority_report.md","ca1_cohort_authority_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca10_corrective_prevention_effectiveness_report.json","ca10_corrective_prevention_effectiveness_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca10_corrective_prevention_effectiveness_report.md","ca10_corrective_prevention_effectiveness_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca11_corrective_fix_watch_report.json","ca11_corrective_fix_watch_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca11_corrective_fix_watch_report.md","ca11_corrective_fix_watch_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca12_program_closeout_report.md","ca12_program_closeout_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca2_path_classification_report.md","ca2_path_classification_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca3_corrective_locality_report.json","ca3_corrective_locality_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca3_corrective_locality_report.md","ca3_corrective_locality_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca4_baseline_lock_report.md","ca4_baseline_lock_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca5_candidate_inventory.json","ca5_candidate_inventory.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca5_candidate_inventory.md","ca5_candidate_inventory.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca5_intake_pipeline_report.md","ca5_intake_pipeline_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca6_reviewed_cohort_report.md","ca6_reviewed_cohort_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca7_corrective_fix_absence_report.json","ca7_corrective_fix_absence_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca7_corrective_fix_absence_report.md","ca7_corrective_fix_absence_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca8_corrective_fix_availability_report.json","ca8_corrective_fix_availability_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca8_corrective_fix_availability_report.md","ca8_corrective_fix_availability_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca9_embedded_corrective_attribution_report.json","ca9_embedded_corrective_attribution_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\ca9_embedded_corrective_attribution_report.md","ca9_embedded_corrective_attribution_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\cb7_analysis.json","cb7_analysis.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bug_recurrence_event_log.json","bug_recurrence_event_log.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bug_recurrence_event_log.legacy.json","bug_recurrence_event_log.legacy.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bug_recurrence_history.json","bug_recurrence_history.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bug_recurrence_history.md","bug_recurrence_history.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bug_recurrence_session_diagnostic_event_log.json","bug_recurrence_session_diagnostic_event_log.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bv1_fallback_incidence_report.json","bv1_fallback_incidence_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bv1_fallback_incidence_report.md","bv1_fallback_incidence_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bv1b_fallback_incidence_report.baseline.json","bv1b_fallback_incidence_report.baseline.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bv1b_fallback_incidence_report.json","bv1b_fallback_incidence_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\bv1b_fallback_incidence_report.md","bv1b_fallback_incidence_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_incidence_anomalies.md","fallback_incidence_anomalies.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_incidence_trends.md","fallback_incidence_trends.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_maintenance_economics.md","fallback_maintenance_economics.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_portfolio_benefit_report.json","fallback_portfolio_benefit_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_portfolio_benefit_report.md","fallback_portfolio_benefit_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_recurrence_report.json","fallback_recurrence_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_recurrence_report.md","fallback_recurrence_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_remediation_effectiveness.md","fallback_remediation_effectiveness.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_remediation_queue.md","fallback_remediation_queue.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_risk_report.json","fallback_risk_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_risk_report.md","fallback_risk_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_roi_report.json","fallback_roi_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\fallback_roi_report.md","fallback_roi_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_hotspots.json","owner_drift_hotspots.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_hotspots.md","owner_drift_hotspots.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_longitudinal.json","owner_drift_longitudinal.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_longitudinal.md","owner_drift_longitudinal.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_risk.json","owner_drift_risk.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_risk.md","owner_drift_risk.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_trends.json","owner_drift_trends.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\owner_drift_trends.md","owner_drift_trends.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\projection_coverage_report.json","projection_coverage_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\projection_drift_watch_report.json","projection_drift_watch_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\projection_drift_watch_report.md","projection_drift_watch_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\projection_gap_reality_report.json","projection_gap_reality_report.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\recurrence_trajectory_history.json","recurrence_trajectory_history.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\replay_failure_corpus_observations.md","replay_failure_corpus_observations.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\replay_failure_report.md","replay_failure_report.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window\golden_transcript_drift.json","golden_transcript_drift.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window\golden_transcript_drift.md","golden_transcript_drift.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window\golden_transcript_drift_history.md","golden_transcript_drift_history.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window\manifest.json","manifest.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window_2\BZ_protected_replay_trend_window_2.md","BZ_protected_replay_trend_window_2.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window_2\BZ_recurrence_movement.json","BZ_recurrence_movement.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window_2\golden_transcript_drift.json","golden_transcript_drift.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window_2\golden_transcript_drift.md","golden_transcript_drift.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\golden_replay\trend_window_2\manifest.json","manifest.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\realization_layer_audit\realization_layer_audit.json","realization_layer_audit.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\realization_layer_audit\realization_layer_audit.md","realization_layer_audit.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\realization_provenance_audit\realization_provenance_audit.json","realization_provenance_audit.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\realization_provenance_audit\realization_provenance_audit.md","realization_provenance_audit.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\scenario_spine_validation\20260621T123556Z\frontier_gate_long_session\branch_social_inquiry\compact_operator_summary.md","compact_operator_summary.md","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"artifacts\test_inventory_full.json","test_inventory_full.json","E","Leave in place; generated evidence path","Medium","Clearly audit/report evidence, but artifact writers and historical reports may require this exact path."
"audits\cycle_ag_hotspot_inventory.json","cycle_ag_hotspot_inventory.json","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ag_residual_complexity_burndown_recon_2026-05-31.md","cycle_ag_residual_complexity_burndown_recon_2026-05-31.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ak_replay_schema_authority_inventory.md","cycle_ak_replay_schema_authority_inventory.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ak_replay_schema_maintenance_compression_closeout.md","cycle_ak_replay_schema_maintenance_compression_closeout.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_block_ao1_implementation_summary.md","cycle_ao_block_ao1_implementation_summary.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_block_ao2_implementation_summary.md","cycle_ao_block_ao2_implementation_summary.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_block_ao3_implementation_summary.md","cycle_ao_block_ao3_implementation_summary.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_block_ao4_implementation_summary.md","cycle_ao_block_ao4_implementation_summary.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_block_ao5_implementation_summary.md","cycle_ao_block_ao5_implementation_summary.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_candidate_blocks.md","cycle_ao_candidate_blocks.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_replay_authority_boundaries.md","cycle_ao_replay_authority_boundaries.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_replay_coverage_baseline.md","cycle_ao_replay_coverage_baseline.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_replay_ownership_consolidation_closeout.md","cycle_ao_replay_ownership_consolidation_closeout.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_ao_replay_ownership_inventory.md","cycle_ao_replay_ownership_inventory.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_au_golden_replay_owner_mapping.md","cycle_au_golden_replay_owner_mapping.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_au_golden_replay_ownership_compression_closeout.md","cycle_au_golden_replay_ownership_compression_closeout.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_au_replay_assertion_family_inventory.md","cycle_au_replay_assertion_family_inventory.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_av_governance_registry_inventory.md","cycle_av_governance_registry_inventory.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_av_replay_governance_promotion_closeout.md","cycle_av_replay_governance_promotion_closeout.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_c_fallback_surface_contraction_closure_2026-05-12.md","cycle_c_fallback_surface_contraction_closure_2026-05-12.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_d_sealed_fallback_contraction_closure_2026-05-13.md","cycle_d_sealed_fallback_contraction_closure_2026-05-13.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_d_visibility_fallback_contraction_closure_2026-05-13.md","cycle_d_visibility_fallback_contraction_closure_2026-05-13.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_e_adjacent_fallback_family_ownership_recon_2026-05-17.md","cycle_e_adjacent_fallback_family_ownership_recon_2026-05-17.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
"audits\cycle_e_block_a_fallback_behavior_ownership_comments_2026-05-17.md","cycle_e_block_a_fallback_behavior_ownership_comments_2026-05-17.md","G","Leave in place; review for a future path-contract migration","Medium","Legacy audit location contains test/generator-pinned paths, operational snapshots, and mixed historical evidence."
