module,file,kind,responsibility,bj_added,fan_in_total,fan_in_production,fan_in_tests,fan_in_helpers,fan_in_scripts,fan_out_total,fan_out_production,fan_out_tests,fan_out_helpers,fan_out_scripts,importer_files,imported_modules
game.final_emission_contract,game/final_emission_contract.py,production,final-emission policy/metadata,False,1,0,1,0,0,0,0,0,0,0,tests/test_final_emission_debt_retirement.py,
game.final_emission_fast_fallback_composition,game/final_emission_fast_fallback_composition.py,production,fallback selection/projection,True,6,3,3,0,0,3,3,0,0,0,game/final_emission_gate_preflight_defaults.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_fast_fallback_composition.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,game.anti_reset_emission_guard;game.final_emission_scene_state_anchor;game.final_emission_text
game.final_emission_fem_assembly,game/final_emission_fem_assembly.py,production,final-emission policy/metadata,True,5,2,3,0,0,10,10,0,0,0,game/final_emission_generic_exit.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_ownership_registry.py,game.final_emission_answer_shape_primacy;game.final_emission_anti_railroading;game.final_emission_context_separation;game.final_emission_meta;game.final_emission_narrative_authority;game.final_emission_player_facing_narration_purity;game.final_emission_repairs;game.final_emission_scene_state_anchor;game.final_emission_tone_escalation;game.social_exchange_emission
game.final_emission_finalize,game/final_emission_finalize.py,production,finalization/exit,True,13,4,8,1,0,7,7,0,0,0,game/final_emission_generic_exit.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;tests/helpers/post_speaker_finalize_probe.py;tests/test_fallback_behavior_gate.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_channel_separation.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_visibility.py;tests/test_manual_play_latency.py;tests/test_ownership_registry.py;tests/test_turn_packet_stage_diff_integration.py,game.fallback_provenance_debug;game.final_emission_boundary_contract;game.final_emission_meta;game.final_emission_text;game.final_emission_validators;game.stage_diff_telemetry;game.state_channels
game.final_emission_first_mention_composition,game/final_emission_first_mention_composition.py,production,final-emission policy/metadata,True,2,1,1,0,0,3,3,0,0,0,game/final_emission_visibility_fallback.py;tests/test_final_emission_first_mention_composition.py,game.final_emission_text;game.final_emission_visibility_fallback;game.narration_visibility
game.final_emission_gate,game/final_emission_gate.py,production,gate orchestration/preflight,False,29,1,27,1,0,7,7,0,0,0,game/final_emission_runtime.py;tests/helpers/gate_equivalence_monkeypatch.py;tests/test_answer_shape_primacy.py;tests/test_block_s_speaker_local_rebind_equivalence.py;tests/test_block_t_speaker_relocation_shadow_equivalence.py;tests/test_block_u_finalize_stack_divergence.py;tests/test_c4_narrative_mode_live_pipeline.py;tests/test_dialogue_social_plan.py;tests/test_diegetic_fallback_narration.py;tests/test_fallback_behavior_gate.py;tests/test_final_emission_acceptance_quality.py;tests/test_final_emission_boundary_no_semantic_repair.py;tests/test_final_emission_fast_fallback_composition.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_n4.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_response_type.py;tests/test_final_emission_scene_state_anchor.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility.py;tests/test_final_emission_visibility_fallback.py;tests/test_ownership_registry.py;tests/test_social_exchange_emission.py;tests/test_speaker_contract_enforcement_extraction.py;tests/test_speaker_contract_risk.py;tests/test_tone_escalation_rules.py,game.emitted_speaker_signature;game.final_emission_gate_context;game.final_emission_generic_exit;game.final_emission_non_strict_stack;game.final_emission_strict_social_stack;game.interaction_continuity;game.speaker_contract_enforcement
game.final_emission_gate_context,game/final_emission_gate_context.py,production,gate orchestration/preflight,True,3,1,2,0,0,8,8,0,0,0,game/final_emission_gate.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,game.final_emission_gate_preflight_branch_flags;game.final_emission_gate_preflight_defaults;game.final_emission_gate_preflight_interaction;game.final_emission_gate_preflight_pregate_text;game.final_emission_gate_preflight_strict_social;game.final_emission_gate_preflight_telemetry;game.final_emission_gate_preflight_turn_packet;game.final_emission_gate_preflight_upstream
game.final_emission_gate_preflight_branch_flags,game/final_emission_gate_preflight_branch_flags.py,production,gate orchestration/preflight,False,2,1,1,0,0,0,0,0,0,0,game/final_emission_gate_context.py;tests/test_ownership_registry.py,
game.final_emission_gate_preflight_defaults,game/final_emission_gate_preflight_defaults.py,production,gate orchestration/preflight,False,2,1,1,0,0,10,10,0,0,0,game/final_emission_gate_context.py;tests/test_ownership_registry.py,game.final_emission_answer_shape_primacy;game.final_emission_anti_railroading;game.final_emission_context_separation;game.final_emission_fast_fallback_composition;game.final_emission_meta;game.final_emission_narrative_authority;game.final_emission_player_facing_narration_purity;game.final_emission_repairs;game.final_emission_response_type;game.final_emission_tone_escalation
game.final_emission_gate_preflight_interaction,game/final_emission_gate_preflight_interaction.py,production,gate orchestration/preflight,False,2,1,1,0,0,1,1,0,0,0,game/final_emission_gate_context.py;tests/test_ownership_registry.py,game.interaction_context
game.final_emission_gate_preflight_pregate_text,game/final_emission_gate_preflight_pregate_text.py,production,gate orchestration/preflight,False,2,1,1,0,0,1,1,0,0,0,game/final_emission_gate_context.py;tests/test_ownership_registry.py,game.final_emission_text
game.final_emission_gate_preflight_strict_social,game/final_emission_gate_preflight_strict_social.py,production,gate orchestration/preflight,False,4,1,3,0,0,4,4,0,0,0,game/final_emission_gate_context.py;tests/test_anti_reset_emission_guard.py;tests/test_narration_transcript_regressions.py;tests/test_ownership_registry.py,game.final_emission_gate_preflight_upstream;game.final_emission_text;game.output_sanitizer;game.social_exchange_emission
game.final_emission_gate_preflight_telemetry,game/final_emission_gate_preflight_telemetry.py,production,gate orchestration/preflight,False,3,1,2,0,0,3,3,0,0,0,game/final_emission_gate_context.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py,game.fallback_provenance_debug;game.final_emission_text;game.stage_diff_telemetry
game.final_emission_gate_preflight_turn_packet,game/final_emission_gate_preflight_turn_packet.py,production,gate orchestration/preflight,False,2,1,1,0,0,2,2,0,0,0,game/final_emission_gate_context.py;tests/test_ownership_registry.py,game.response_policy_contracts;game.turn_packet
game.final_emission_gate_preflight_upstream,game/final_emission_gate_preflight_upstream.py,production,gate orchestration/preflight,False,4,2,2,0,0,1,1,0,0,0,game/final_emission_gate_context.py;game/final_emission_gate_preflight_strict_social.py;tests/test_final_emission_opening_fallback.py;tests/test_ownership_registry.py,game.upstream_response_repairs
game.final_emission_generic_exit,game/final_emission_generic_exit.py,production,finalization/exit,True,6,1,5,0,0,12,12,0,0,0,game/final_emission_gate.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_sealed_fallback.py;tests/test_ownership_registry.py;tests/test_referential_clarity_player_coref.py,game.anti_reset_emission_guard;game.diegetic_fallback_narration;game.final_emission_boundary_contract;game.final_emission_fem_assembly;game.final_emission_finalize;game.final_emission_meta;game.final_emission_repairs;game.final_emission_sealed_fallback;game.final_emission_terminal_pipeline;game.final_emission_text;game.final_emission_tone_escalation;game.social_exchange_emission
game.final_emission_meta,game/final_emission_meta.py,production,final-emission policy/metadata,False,57,25,26,6,0,4,4,0,0,0,game/dead_turn_report_visibility.py;game/fallback_provenance_debug.py;game/final_emission_acceptance_quality.py;game/final_emission_fem_assembly.py;game/final_emission_finalize.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_generic_exit.py;game/final_emission_narrative_mode_output.py;game/final_emission_opening_fallback.py;game/final_emission_repairs.py;game/final_emission_replay_projection.py;game/final_emission_response_type.py;game/final_emission_sealed_fallback.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;game/final_emission_visibility_fallback.py;game/gm_retry.py;game/interaction_continuity.py;game/narrative_authenticity.py;game/narrative_authenticity_eval.py;game/opening_deterministic_fallback.py;game/output_sanitizer.py;game/playability_eval.py;game/post_emission_speaker_adoption.py;game/stage_diff_telemetry.py;tests/helpers/behavioral_gauntlet_eval.py;tests/helpers/emission_smoke_assertions.py;tests/helpers/failure_classifier.py;tests/helpers/golden_replay_projection.py;tests/helpers/opening_fallback_evidence.py;tests/helpers/replacement_attribution_inventory.py;tests/test_dead_turn_detection.py;tests/test_dead_turn_evaluation_threading.py;tests/test_final_emission_acceptance_quality.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_channel_separation.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_n4.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_meta.py;tests/test_final_emission_narrative_mode_output.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility.py;tests/test_final_emission_visibility_fallback.py;tests/test_golden_replay_direct_seam.py;tests/test_narrative_mode_output_validator.py;tests/test_observational_telemetry_confidence.py;tests/test_opening_fallback_owner_bucket.py;tests/test_ownership_registry.py;tests/test_run_scenario_spine_validation.py;tests/test_tone_escalation_rules.py;tests/test_transcript_gauntlet_actor_addressing.py;tests/test_upstream_response_repairs.py;tests/test_validation_layer_separation_runtime.py,game.final_emission_replay_projection;game.final_emission_validators;game.state_channels;game.telemetry_vocab
game.final_emission_narrative_authority,game/final_emission_narrative_authority.py,production,final-emission policy/metadata,True,8,5,3,0,0,4,4,0,0,0,game/final_emission_anti_railroading.py;game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_narrative_authority_rules.py;tests/test_ownership_registry.py,game.final_emission_text;game.narrative_authority;game.response_policy_contracts;game.social_exchange_emission
game.final_emission_narrative_mode_output,game/final_emission_narrative_mode_output.py,production,final-emission policy/metadata,True,5,2,3,0,0,2,2,0,0,0,game/final_emission_non_strict_stack.py;game/final_emission_terminal_pipeline.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_narrative_mode_output.py;tests/test_ownership_registry.py,game.final_emission_meta;game.narrative_mode_contract
game.final_emission_non_strict_stack,game/final_emission_non_strict_stack.py,production,final-emission policy/metadata,True,10,1,9,0,0,19,19,0,0,0,game/final_emission_gate.py;tests/test_answer_shape_primacy.py;tests/test_fallback_behavior_gate.py;tests/test_final_emission_fast_fallback_composition.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_scene_state_anchor.py;tests/test_ownership_registry.py;tests/test_tone_escalation_rules.py,game.fallback_provenance_debug;game.final_emission_answer_shape_primacy;game.final_emission_anti_railroading;game.final_emission_boundary_contract;game.final_emission_context_separation;game.final_emission_fast_fallback_composition;game.final_emission_finalize;game.final_emission_narrative_authority;game.final_emission_narrative_mode_output;game.final_emission_opening_fallback;game.final_emission_passive_scene_pressure;game.final_emission_player_facing_narration_purity;game.final_emission_repairs;game.final_emission_response_type;game.final_emission_scene_emit_integrity;game.final_emission_scene_state_anchor;game.final_emission_text;game.final_emission_tone_escalation;game.interaction_continuity
game.final_emission_opening_fallback,game/final_emission_opening_fallback.py,production,fallback selection/projection,False,10,6,3,1,0,6,6,0,0,0,game/final_emission_non_strict_stack.py;game/final_emission_response_type.py;game/final_emission_sealed_fallback.py;game/final_emission_visibility_fallback.py;game/opening_deterministic_fallback.py;game/upstream_response_repairs.py;tests/helpers/opening_fallback_gate_harness.py;tests/test_final_emission_meta.py;tests/test_final_emission_opening_fallback.py;tests/test_ownership_registry.py,game.diegetic_fallback_narration;game.final_emission_meta;game.final_emission_sealed_fallback;game.final_emission_visibility_fallback;game.opening_deterministic_fallback;game.upstream_response_repairs
game.final_emission_opening_mode,game/final_emission_opening_mode.py,production,final-emission policy/metadata,True,4,3,1,0,0,1,1,0,0,0,game/final_emission_response_type.py;game/final_emission_sealed_fallback.py;game/final_emission_visibility_fallback.py;tests/test_final_emission_opening_fallback.py,game.final_emission_text
game.final_emission_passive_scene_pressure,game/final_emission_passive_scene_pressure.py,production,final-emission policy/metadata,True,7,2,5,0,0,3,3,0,0,0,game/final_emission_non_strict_stack.py;game/final_emission_visibility_fallback.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_passive_scene_pressure.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility_fallback.py;tests/test_ownership_registry.py,game.final_emission_text;game.final_emission_visibility_fallback;game.storage
game.final_emission_player_facing_narration_purity,game/final_emission_player_facing_narration_purity.py,production,final-emission policy/metadata,True,8,5,3,0,0,1,1,0,0,0,game/final_emission_answer_shape_primacy.py;game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_ownership_registry.py;tests/test_player_facing_narration_purity.py,game.player_facing_narration_purity
game.final_emission_referential_clarity,game/final_emission_referential_clarity.py,production,final-emission policy/metadata,True,5,2,3,0,0,6,6,0,0,0,game/final_emission_terminal_pipeline.py;game/final_emission_visibility_fallback.py;tests/test_final_emission_referential_clarity.py;tests/test_referential_clarity_strict_social_local_repair.py;tests/test_speaker_contract_enforcement.py,game.final_emission_text;game.final_emission_validators;game.narration_visibility;game.prompt_context;game.response_policy_contracts;game.social_exchange_emission
game.final_emission_repairs,game/final_emission_repairs.py,production,final-emission policy/metadata,False,21,6,11,4,0,7,7,0,0,0,game/final_emission_fem_assembly.py;game/final_emission_gate_preflight_defaults.py;game/final_emission_generic_exit.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;tests/helpers/emission_smoke_assertions.py;tests/helpers/gate_equivalence_monkeypatch.py;tests/helpers/post_speaker_finalize_probe.py;tests/helpers/repairs_consumer_facade.py;tests/test_final_emission_boundary_contract.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_repairs.py;tests/test_final_emission_validators.py;tests/test_narrative_authority_rules.py;tests/test_ownership_registry.py;tests/test_prompt_context.py;tests/test_social_fallback_leak_containment.py;tests/test_strict_social_answer_pressure_cashout.py;tests/test_validation_layer_separation_runtime.py,game.final_emission_boundary_contract;game.final_emission_meta;game.final_emission_text;game.final_emission_validators;game.narrative_authenticity;game.response_policy_contracts;game.turn_packet
game.final_emission_replay_projection,game/final_emission_replay_projection.py,production,replay projection/governance,False,10,1,5,4,0,3,3,0,0,0,game/final_emission_meta.py;tests/helpers/attribution_contract.py;tests/helpers/failure_classifier.py;tests/helpers/golden_replay_projection.py;tests/helpers/replacement_attribution_inventory.py;tests/test_attribution_contract.py;tests/test_final_emission_meta.py;tests/test_ownership_registry.py;tests/test_replacement_attribution_inventory.py;tests/test_run_scenario_spine_validation.py,game.final_emission_meta;game.runtime_lineage_telemetry;game.telemetry_vocab
game.final_emission_response_type,game/final_emission_response_type.py,production,final-emission policy/metadata,True,12,3,6,3,0,10,10,0,0,0,game/final_emission_gate_preflight_defaults.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/helpers/emission_smoke_assertions.py;tests/helpers/gate_equivalence_monkeypatch.py;tests/helpers/opening_fallback_gate_harness.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_opening_fallback.py;tests/test_final_emission_response_type.py;tests/test_ownership_registry.py,game.final_emission_meta;game.final_emission_opening_fallback;game.final_emission_opening_mode;game.final_emission_text;game.final_emission_validators;game.opening_deterministic_fallback;game.realization_provenance;game.response_policy_contracts;game.social_exchange_emission;game.upstream_response_repairs
game.final_emission_runtime,game/final_emission_runtime.py,production,final-emission policy/metadata,False,13,1,11,1,0,1,1,0,0,0,game/api_turn_support.py;tests/helpers/emission_smoke_assertions.py;tests/test_anti_railroading_retry_alignment.py;tests/test_api_narration_path_selection.py;tests/test_contextual_minimal_repair_regressions.py;tests/test_dead_turn_detection.py;tests/test_fallback_behavior_repairs.py;tests/test_ownership_registry.py;tests/test_retry_tone_alignment.py;tests/test_social_emission_quality.py;tests/test_social_interaction_authority.py;tests/test_stage_diff_telemetry.py;tests/test_turn_packet_stage_diff_integration.py,game.final_emission_gate
game.final_emission_scene_emit_integrity,game/final_emission_scene_emit_integrity.py,production,final-emission policy/metadata,True,8,4,4,0,0,2,2,0,0,0,game/final_emission_non_strict_stack.py;game/final_emission_sealed_fallback.py;game/final_emission_strict_social_stack.py;game/final_emission_visibility_fallback.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_scene_emit_integrity.py;tests/test_final_emission_sealed_fallback.py;tests/test_ownership_registry.py,game.final_emission_text;game.final_emission_visibility_fallback
game.final_emission_scene_facts,game/final_emission_scene_facts.py,production,final-emission policy/metadata,True,2,1,1,0,0,3,3,0,0,0,game/final_emission_visibility_fallback.py;tests/test_final_emission_scene_facts.py,game.anti_reset_emission_guard;game.final_emission_text;game.storage
game.final_emission_scene_state_anchor,game/final_emission_scene_state_anchor.py,production,final-emission policy/metadata,True,10,5,5,0,0,2,2,0,0,0,game/final_emission_anti_railroading.py;game/final_emission_fast_fallback_composition.py;game/final_emission_fem_assembly.py;game/final_emission_non_strict_stack.py;game/final_emission_strict_social_stack.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_scene_state_anchor.py;tests/test_narrative_authority_rules.py;tests/test_ownership_registry.py;tests/test_scene_state_anchoring.py,game.final_emission_text;game.scene_state_anchoring
game.final_emission_sealed_fallback,game/final_emission_sealed_fallback.py,production,fallback selection/projection,False,11,6,5,0,0,8,8,0,0,0,game/final_emission_acceptance_quality.py;game/final_emission_generic_exit.py;game/final_emission_opening_fallback.py;game/final_emission_strict_social_stack.py;game/final_emission_terminal_pipeline.py;game/final_emission_visibility_fallback.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_meta.py;tests/test_final_emission_sealed_fallback.py;tests/test_ownership_registry.py,game.final_emission_meta;game.final_emission_opening_fallback;game.final_emission_opening_mode;game.final_emission_scene_emit_integrity;game.final_emission_text;game.final_emission_visibility_fallback;game.realization_provenance;game.social_exchange_emission
game.final_emission_strict_social_stack,game/final_emission_strict_social_stack.py,production,final-emission policy/metadata,True,22,1,17,4,0,22,22,0,0,0,game/final_emission_gate.py;tests/helpers/gate_equivalence_monkeypatch.py;tests/helpers/post_speaker_finalize_probe.py;tests/helpers/speaker_relocation_shadow_harness.py;tests/helpers/strict_social_harness.py;tests/test_answer_shape_primacy.py;tests/test_c4_narrative_mode_live_pipeline.py;tests/test_fallback_behavior_gate.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_fast_fallback_composition.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_diagnostics.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_scene_state_anchor.py;tests/test_ownership_registry.py;tests/test_prompt_context.py;tests/test_referential_clarity_player_coref.py;tests/test_scene_state_anchoring.py;tests/test_social_exchange_emission.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_risk.py,game.dialogue_social_plan;game.fallback_provenance_debug;game.final_emission_answer_shape_primacy;game.final_emission_anti_railroading;game.final_emission_context_separation;game.final_emission_fast_fallback_composition;game.final_emission_fem_assembly;game.final_emission_finalize;game.final_emission_meta;game.final_emission_narrative_authority;game.final_emission_player_facing_narration_purity;game.final_emission_repairs;game.final_emission_response_type;game.final_emission_scene_emit_integrity;game.final_emission_scene_state_anchor;game.final_emission_sealed_fallback;game.final_emission_terminal_pipeline;game.final_emission_text;game.final_emission_tone_escalation;game.social_exchange_emission;game.speaker_contract_enforcement;game.stage_diff_telemetry
game.final_emission_terminal_pipeline,game/final_emission_terminal_pipeline.py,production,finalization/exit,True,25,2,22,1,0,14,14,0,0,0,game/final_emission_generic_exit.py;game/final_emission_strict_social_stack.py;tests/helpers/post_speaker_finalize_probe.py;tests/test_anti_railroading.py;tests/test_anti_railroading_transcript_regressions.py;tests/test_context_separation.py;tests/test_fallback_behavior_gate.py;tests/test_final_emission_acceptance_quality.py;tests/test_final_emission_boundary_convergence.py;tests/test_final_emission_boundary_no_semantic_repair.py;tests/test_final_emission_gate_delegator_regression.py;tests/test_final_emission_gate_n4.py;tests/test_final_emission_gate_orchestration_order.py;tests/test_final_emission_gate_selector_snapshots.py;tests/test_final_emission_sealed_fallback.py;tests/test_final_emission_visibility_fallback.py;tests/test_narration_transcript_regressions.py;tests/test_ownership_registry.py;tests/test_player_facing_narration_purity.py;tests/test_prompt_context.py;tests/test_referential_clarity_player_coref.py;tests/test_social_exchange_emission.py;tests/test_speaker_contract_enforcement.py;tests/test_speaker_contract_risk.py;tests/test_tone_escalation_rules.py,game.final_emission_acceptance_quality;game.final_emission_boundary_contract;game.final_emission_finalize;game.final_emission_meta;game.final_emission_narrative_mode_output;game.final_emission_referential_clarity;game.final_emission_repairs;game.final_emission_sealed_fallback;game.final_emission_text;game.final_emission_visibility_fallback;game.interaction_continuity;game.narration_visibility;game.social_exchange_emission;game.speaker_contract_enforcement
